"Annadurai B","Tamil Nadu",Tiruvannamalai,848,0.07,Independent,52,"5th Pass",338550,0,"",Drycleaner
"Anbalagan M","Tamil Nadu",Tiruvannamalai,824,0.07,Independent,38,"Graduate Professional",1325000,120000,"",Agriculture
"Indiramohan P","Tamil Nadu",Tiruvannamalai,728,0.06,Independent,36,"Post Graduate",337000,0,"",LAWYER
"Udhayakumar P S","Tamil Nadu",Tiruvannamalai,759,0.07,Independent,48,"5th Pass",1444000,25000,"","Daily worker"
"Ayyappan M","Tamil Nadu",Tiruvannamalai,851,0.07,Independent,27,"Post Graduate",2202000,0,"",Business
"Karuna S","Tamil Nadu",Tiruvannamalai,1855,0.16,Independent,-1,,,,,
"Kalaimani S","Tamil Nadu",Tiruvannamalai,1632,0.14,Independent,33,"Graduate Professional",553100,0,"",
"Krishnamoorthy A","Tamil Nadu",Tiruvannamalai,4175,0.36,Independent,45,"10th Pass",275000,0,"",Labour
"Krishnamurthi R","Tamil Nadu",Tiruvannamalai,4001,0.35,Independent,-1,,,,,
"Sivagururaj T","Tamil Nadu",Tiruvannamalai,1758,0.15,Independent,26,"10th Pass",40500,0,"","Self Employed"
"Arul R","Tamil Nadu",Tiruvannamalai,14654,1.27,"Makkal Needhi Maiam",44,Others,2128322,505309,"","Private Company"
"Padavettan M","Tamil Nadu",Tiruvannamalai,606,0.05,Independent,49,"5th Pass",160000,0,"","Labour (Farmer)"
"Raghunathan K","Tamil Nadu",Tiruvannamalai,506,0.04,Independent,40,"Graduate Professional",4972000,0,"","Highcourt Lawyer"
"Gnanasekar A","Tamil Nadu",Tiruvannamalai,38639,3.35,Independent,47,"10th Pass",510162944,172296311,"","self employed"
"Vigneshwaran A","Tamil Nadu",Tiruvannamalai,606,0.05,Independent,26,"Graduate Professional",1246700,0,"",Business
"Vijayan A","Tamil Nadu",Tiruvannamalai,623,0.05,Independent,38,Literate,262000,0,"",COOLIE
"Velu R","Tamil Nadu",Tiruvannamalai,1638,0.14,Independent,37,"10th Pass",992000,0,"",Driver
"Jayaprasad M.g",Karnataka,Kolar,9861,0.78,"Bahujan Samaj Party",64,"Post Graduate",48130500,12100000,"","Home loan Marketing"
Nota,"Tamil Nadu",Tiruvannamalai,12317,1.07,"None of the Above",,,,,,
"S. Muniswamy",Karnataka,Kolar,709165,56.35,"Bharatiya Janata Party",44,"12th Pass",174557500,19865690,341|143|147|149|283|34,"Agriculturist & BBMP Corporator"
"K.h. Muniyappa",Karnataka,Kolar,499144,39.66,"Indian National Congress",71,"Graduate Professional",329443821,144227620,506|323|341|504|34,"Member of Lok Sabha"
"G. Chikkanarayana",Karnataka,Kolar,1491,0.12,"Republican Sena",43,Graduate,950000,0,"","Social Service"
"Ashok Chakravarthi M.b",Karnataka,Kolar,7085,0.56,"Ambedkar Samaj Party",38,"10th Pass",350000,0,"",Agricutlure
"Ramanji. R",Karnataka,Kolar,3412,0.27,"Uttama Prajaakeeya Party",29,"Post Graduate",86500,370000,"","Private Job"
"Dhanamatnalli Venkateshappa",Karnataka,Kolar,1015,0.08,"Republican Party of India (A)",43,"12th Pass",4820000,0,"","Agriculture & Social Service"
"Dr. Ramesh Babu. V.m.",Karnataka,Kolar,1494,0.12,Independent,44,"Post Graduate",145830000,1200000,"","Auditing, Agriculturist"
"Medihala Chalavadi M Chandrashekar",Karnataka,Kolar,1454,0.12,Independent,41,"12th Pass",1010000,0,"","Agriculture and Social service"
"Raj Kumaresan. L",Karnataka,Kolar,2881,0.23,Independent,41,"Post Graduate",10015000,2100000,"","Self employee"
"N.c. Subbarayappa",Karnataka,Kolar,2574,0.2,Independent,56,"Graduate Professional",629000,0,"",Loyer
Nota,Karnataka,Kolar,13889,1.1,"None of the Above",,,,,,
"Agarwal Kanaialal","West Bengal",Raiganj,451078,35.32,"All India Trinamool Congress",64,"Post Graduate",20695117,0,325|467|506|365|368|147|148|323|188|353|448|504|149,"Self Employed"
"Churka Murmu","West Bengal",Raiganj,4091,0.32,"Bahujan Samaj Party",63,"12th Pass",17307942,0,"",Retired
"Deepa Dasmunsi","West Bengal",Raiganj,83662,6.55,"Indian National Congress",58,"Post Graduate",15615375,0,506|188|283|34|341|323,"Artist, Project Designer"
"Debasree Chaudhuri","West Bengal",Raiganj,511652,40.06,"Bharatiya Janata Party",48,"Post Graduate",6139123,823416,506|143|186|323|147|148|149|353|183|120B,"Social Services"
"Md. Salim","West Bengal",Raiganj,182035,14.25,"Communist Party of India  (Marxist)",61,"Post Graduate",9690051,619755,188|34,"Social Political Worker"
"Akik Hossain Chowdhury","West Bengal",Raiganj,2959,0.23,"Kamatapur People’s Party (United)",48,Graduate,1065000,0,"",Labour
"Munirajappa. P",Karnataka,Kolar,1184,0.09,Independent,38,"12th Pass",970000,0,"",Agriculture
"Sarvesh N.m.",Karnataka,Kolar,1407,0.11,"Pyramid Party of India",32,"12th Pass",1505000,0,"",Unemployee
"C. Shankarappa",Karnataka,Kolar,2495,0.2,Independent,53,"10th Pass",5753000,0,"","Agriculture and Social service"
"Advocate Anjay Debsarma","West Bengal",Raiganj,2371,0.19,Independent,38,"Post Graduate",706000,0,"",Advocate
"Kumaresh Sarkar","West Bengal",Raiganj,3163,0.25,Independent,44,"10th Pass",418000,0,"","Self Employed"
"Binoy Kumar Das","West Bengal",Raiganj,6925,0.54,Independent,72,Graduate,188788000,0,"",Grihasthi
"Md. Sahajan Badsha","West Bengal",Raiganj,5054,0.4,Independent,34,Others,57678,0,"",Business
"Rajendiran T","Tamil Nadu",Tiruvannamalai,571,0.05,Independent,61,"Graduate Professional",8582500,0,"","Pensioner, Agriculture"
Nota,"West Bengal",Raiganj,13749,1.08,"None of the Above",,,,,,
"Lakshman Murmu","West Bengal",Raiganj,3269,0.26,"Ambedkarite Party of India",30,"12th Pass",377482,0,"",Business
"Santhapan Hasdak","West Bengal",Raiganj,2831,0.22,"Jharkhand Mukti Morcha",43,"Post Graduate",556386,0,"",Teacher
"Sujan Krishna Paul","West Bengal",Raiganj,1632,0.13,"SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)",40,Graduate,629956,144320,302|34,"Assistant Teacher, Kharaipara F. PS, Under D.P.S.C. Uttar Dinajpur"
"Agri Krishnamurthy S S","Tamil Nadu",Tiruvannamalai,362085,31.44,"All India Anna Dravida Munnetra Kazhagam",59,"Graduate Professional",70403250,18887013,306|34|120B|109,Agriculture
"Babu B","Tamil Nadu",Tiruvannamalai,4124,0.36,"Bahujan Samaj Party",27,"Graduate Professional",110000,0,"","Law College Student"
"Raju Paul","West Bengal",Raiganj,2638,0.21,Independent,30,"10th Pass",980000,0,326|307|420|363|365|348|323|34,Business
"Rajvir Diler","Uttar Pradesh",Hathras,684299,59.49,"Bharatiya Janata Party",61,"12th Pass",14930000,0,"",MLA
"Ramji Lal Suman","Uttar Pradesh",Hathras,424091,36.87,"Samajwadi Party",68,"Graduate Professional",20654961,0,309|147|447|352|323|504,"Agriculture & Pension & Rent"
"Tilak Singh","Uttar Pradesh",Hathras,883,0.08,Independent,61,"10th Pass",2622200,0,"",Farming
"Dinesh Sai","Uttar Pradesh",Hathras,1394,0.12,Independent,27,Graduate,564824,0,"",Labour
Harswaroop,"Uttar Pradesh",Hathras,3263,0.28,Independent,58,"8th Pass",5078000,0,"",Labour
Nota,"Uttar Pradesh",Hathras,8568,0.74,"None of the Above",,,,,,
"Triloki Ram","Uttar Pradesh",Hathras,23926,2.08,"Indian National Congress",71,Graduate,118225490,9510364,"",Pensioner
"Bhupendra Kumar","Uttar Pradesh",Hathras,1565,0.14,"Rashtriya Shoshit Samaj Party",31,"12th Pass",3222056,821000,"",Travels
Rajaram,"Uttar Pradesh",Hathras,2305,0.2,"Lok Dal",65,Graduate,794348,0,"",Labour
"Annu Tandon","Uttar Pradesh",Unnao,185634,15.01,"Indian National Congress",61,Graduate,816046184,96675048,"","Social Worker & Politician"
"Arun Shanker Shukla","Uttar Pradesh",Unnao,302551,24.46,"Samajwadi Party",61,"10th Pass",458367272,4074764,506|452|365|307|147|148|323|342|149|504|427|353,Business
"Deepak Chaurasia","Uttar Pradesh",Unnao,5715,0.46,"Janhit Kisan Party",51,"12th Pass",7597500,0,"",Business
